kind,volume,contained,katz_tao_ratio,frostman_ratio,a,b,thickness
oriented_box,0.3443293015849158,0,0.0,0.0,0.1721646507924579,1.0,
oriented_box,0.027891083783073416,0,0.0,0.0,0.1041459216672686,0.13390386938137366,
oriented_box,2.0,20,0.036,0.20833333333333334,1.0,1.0,
oriented_box,0.1620023835014525,0,0.0,0.0,0.13390386938137366,0.6049204711181684,
oriented_box,0.9409735549996502,1,0.0038258248394678193,0.02214019004321655,0.4704867774998251,1.0,
oriented_box,0.09799855814996483,0,0.0,0.0,0.1041459216672686,0.4704867774998251,
oriented_box,0.07621997936088923,0,0.0,0.0,0.1041459216672686,0.36592877637782695,
oriented_box,0.44271561560433986,3,0.024394892837148276,0.1411741483631266,0.4704867774998251,0.4704867774998251,
oriented_box,0.20829184333453715,0,0.0,0.0,0.13390386938137366,0.7777663345235303,
oriented_box,2.0,25,0.045,0.2604166666666667,1.0,1.0,
oriented_box,0.03586049247060795,0,0.0,0.0,0.1041459216672686,0.1721646507924579,
oriented_box,0.44271561560433975,0,0.0,0.0,0.2846070831000631,0.7777663345235303,
oriented_box,0.03586049247060794,0,0.0,0.0,0.08100119175072623,0.22135780780216993,
oriented_box,0.126,0,0.0,0.0,0.063,1.0,
oriented_box,0.016871887542053075,0,0.0,0.0,0.08100119175072623,0.1041459216672686,
oriented_box,2.0,2,0.0036,0.020833333333333332,1.0,1.0,
oriented_box,2.0,4,0.0072,0.041666666666666664,1.0,1.0,
oriented_box,0.34432930158491565,1,0.010455107896509346,0.060504096623317974,0.22135780780216993,0.7777663345235303,
oriented_box,0.5692141662001261,1,0.006324508794347716,0.03660016663395669,0.36592877637782695,0.7777663345235303,
slab,0.5026212164575458,0,0.0,0.0,,,0.1721646507924579
slab,0.5498369019182705,0,0.0,0.0,,,0.22135780780216993
slab,2.8583593600085857,24,0.030227130013400584,0.17492552091088298,,,1.0
slab,0.2222843240343242,0,0.0,0.0,,,0.08100119175072623
slab,1.2756468247533286,0,0.0,0.0,,,0.4704867774998251
slab,1.965042578842637,3,0.005496064113969959,0.0318059265854743,,,0.7777663345235303
slab,0.38114308726828117,0,0.0,0.0,,,0.13390386938137366
slab,0.17217974401192127,0,0.0,0.0,,,0.08100119175072623
slab,0.21208067587161183,0,0.0,0.0,,,0.1041459216672686
slab,2.7600988940603224,23,0.02999892510307654,0.17360489064280404,,,1.0
slab,0.8077066944690101,0,0.0,0.0,,,0.2846070831000631
slab,1.6598221727212765,0,0.0,0.0,,,1.0
slab,0.10966965108068227,0,0.0,0.0,,,0.063
slab,0.8254976450597522,0,0.0,0.0,,,0.4704867774998251
slab,0.6582010843813659,0,0.0,0.0,,,0.22135780780216993
slab,0.8789215296756798,0,0.0,0.0,,,0.2846070831000631
slab,0.41784997353358133,0,0.0,0.0,,,0.13390386938137366
slab,0.8720041186931191,0,0.0,0.0,,,0.36592877637782695
slab,0.8958245487328138,0,0.0,0.0,,,0.6049204711181684
slab,0.13538286425333146,0,0.0,0.0,,,0.063
slab,0.676344800445495,0,0.0,0.0,,,0.36592877637782695
slab,0.16848562441025083,0,0.0,0.0,,,0.063
slab,0.3021251216739782,0,0.0,0.0,,,0.1041459216672686
slab,0.5908674130525515,0,0.0,0.0,,,0.22135780780216993
slab,0.6402296224565882,0,0.0,0.0,,,0.22135780780216993
slab,0.3539619753639086,0,0.0,0.0,,,0.13390386938137366
slab,0.3586204913833819,0,0.0,0.0,,,0.1721646507924579
slab,0.7289413321256626,0,0.0,0.0,,,0.6049204711181684
slab,0.27357271678691153,0,0.0,0.0,,,0.1041459216672686
slab,2.6923456007832582,11,0.01470836433052263,0.08511784913496895,,,1.0
slab,1.6624308936791499,2,0.004331007097723969,0.025063698482198898,,,0.6049204711181684
slab,0.4072183824271214,0,0.0,0.0,,,0.13390386938137366
